type,seconds,round,chunk_distance,name,t,c,z,y,x
Indexed-TIFF,0.10102553,59,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,3,2
Indexed-TIFF,0.07721826,60,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,2,1
Indexed-TIFF,0.07526731,61,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,2,6
Indexed-TIFF,0.09084372,62,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,6,6
Indexed-TIFF,0.07069653000000001,63,0,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,3,2
Indexed-TIFF,0.07634058,64,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,2,7
Indexed-TIFF,0.07804017,65,2,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,5,5
Indexed-TIFF,0.0702815,66,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,4,7
Indexed-TIFF,0.07807305,67,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,7,1
Indexed-TIFF,0.06254045,68,0,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,5,7
Indexed-TIFF,0.07820992,69,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,6,3
Indexed-TIFF,0.0742604,70,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,3,3
