type,seconds,round,name,t,c,z,y,x
Indexed-TIFF,0.18457780000000001,36,XY-1920-Z-259-C-4-T-1-XC-256,1,2,136,3,7
Indexed-TIFF,0.19562085,37,XY-1920-Z-259-C-4-T-1-XC-256,1,3,54,5,4
Indexed-TIFF,0.15668964,38,XY-1920-Z-259-C-4-T-1-XC-256,1,1,160,4,7
Indexed-TIFF,0.17538559,39,XY-1920-Z-259-C-4-T-1-XC-256,1,1,7,5,7
Indexed-TIFF,0.1763672,40,XY-1920-Z-259-C-4-T-1-XC-256,1,2,1,2,3
Indexed-TIFF,0.16760292000000002,41,XY-1920-Z-259-C-4-T-1-XC-256,1,3,127,1,2
Indexed-TIFF,0.15852469,42,XY-1920-Z-259-C-4-T-1-XC-256,1,1,193,2,1
Indexed-TIFF,0.15799643,43,XY-1920-Z-259-C-4-T-1-XC-256,1,3,72,1,7
Indexed-TIFF,0.16801747,44,XY-1920-Z-259-C-4-T-1-XC-256,1,3,246,1,1
Indexed-TIFF,0.17776997,45,XY-1920-Z-259-C-4-T-1-XC-256,1,4,47,7,4
Indexed-TIFF,0.19780024000000002,46,XY-1920-Z-259-C-4-T-1-XC-256,1,2,218,3,7
Indexed-TIFF,0.15759567,47,XY-1920-Z-259-C-4-T-1-XC-256,1,1,243,5,6
Indexed-TIFF,0.15430302,48,XY-1920-Z-259-C-4-T-1-XC-256,1,3,20,4,5
Indexed-TIFF,0.18675,49,XY-1920-Z-259-C-4-T-1-XC-256,1,4,119,7,7
Indexed-TIFF,0.18852029,50,XY-1920-Z-259-C-4-T-1-XC-256,1,2,14,1,6
Indexed-TIFF,0.17057518,51,XY-1920-Z-259-C-4-T-1-XC-256,1,3,132,4,7
Indexed-TIFF,0.17335333,52,XY-1920-Z-259-C-4-T-1-XC-256,1,3,235,6,5
Indexed-TIFF,0.14624743,53,XY-1920-Z-259-C-4-T-1-XC-256,1,3,138,7,4
Indexed-TIFF,0.15000626,54,XY-1920-Z-259-C-4-T-1-XC-256,1,2,78,1,4
Indexed-TIFF,0.17180829,55,XY-1920-Z-259-C-4-T-1-XC-256,1,3,114,7,7
Indexed-TIFF,0.17308323,56,XY-1920-Z-259-C-4-T-1-XC-256,1,4,221,3,3
Indexed-TIFF,0.18226664,57,XY-1920-Z-259-C-4-T-1-XC-256,1,2,172,1,3
